Record Date,State Name,Interest Rate Percent,Outstanding Advance Balance,Advance Authorization Current Month,Gross Advance Draws Current Month,Interest Accrued Fiscal Year to Date,Interest Paid Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2020-12-04","West Virginia","2.40870090","114190719.75","125000000.00","0.00","0.00","0.00","22","2021","1","2020","4","12","04"
"2020-12-04","Illinois","2.40870090","2972818704.44","973000000.00","104523853.62","0.00","0.00","7","2021","1","2020","4","12","04"
"2020-12-04","New Mexico","2.40870090","180074712.55","125000000.00","16162475.93","0.00","0.00","15","2021","1","2020","4","12","04"
"2020-12-04","Maryland","2.40870090","0.00","100000000.00","0.00","0.00","0.00","11","2021","1","2020","4","12","04"
"2020-12-04","Indiana","2.40870090","98060839.85","120000000.00","5697744.47","0.00","0.00","8","2021","1","2020","4","12","04"
"2020-12-04","Texas","2.40870090","5631932970.38","1200000000.00","55444370.88","0.00","0.00","19","2021","1","2020","4","12","04"
"2020-12-04","Connecticut","2.40870090","420400501.41","250000000.00","14442855.91","0.00","0.00","3","2021","1","2020","4","12","04"
"2020-12-04","Virginia","2.40870090","76729746.00","630000000.00","7175000.00","0.00","0.00","20","2021","1","2020","4","12","04"
"2020-12-04","Virgin Islands","2.40870090","81849297.52","6000000.00","674137.00","0.00","0.00","21","2021","1","2020","4","12","04"
"2020-12-04","Hawaii","2.40870090","719576684.77","435000000.00","13580265.92","0.00","0.00","6","2021","1","2020","4","12","04"
"2020-12-04","Massachusetts","2.40870090","2058854154.88","720000000.00","24862017.94","0.00","0.00","12","2021","1","2020","4","12","04"
"2020-12-04","Georgia","2.40870090","853899879.90","350000000.00","38900000.00","0.00","0.00","5","2021","1","2020","4","12","04"
"2020-12-04","Ohio","2.40870090","1196849996.50","450000000.00","16621000.00","0.00","0.00","17","2021","1","2020","4","12","04"
"2020-12-04","New Jersey","2.40870090","561359213.77","600000000.00","37768000.00","0.00","0.00","14","2021","1","2020","4","12","04"
"2020-12-04","New York","2.40870090","8843329091.59","800000000.00","78478565.20","0.00","0.00","16","2021","1","2020","4","12","04"
"2020-12-04","California","2.40870090","16453953723.57","4000000000.00","228000000.00","0.00","0.00","1","2021","1","2020","4","12","04"
