Report_Date,Borough,Community_Districts,Census_Type,Adult_Family_Commercial_Hotel,Adult_Family_Shelter,Adult_Shelter,Adult_Shelter_Commercial_Hotel,Family_Cluster,Family_with_Children_Commercial_Hotel,Family_with_Children_Shelter
7/31/18,Bronx,1,Individuals,,183,219,,169,74,1206
7/31/18,Bronx,2,Individuals,,184,,,244,,960
7/31/18,Bronx,3,Individuals,,146,424,,260,280,1347
7/31/18,Bronx,4,Individuals,,,419,62,1655,,1970
7/31/18,Bronx,5,Individuals,,264,493,,925,,1045
7/31/18,Bronx,6,Individuals,,52,120,69,524,,2161
7/31/18,Bronx,7,Individuals,,96,391,,395,,320
7/31/18,Bronx,8,Individuals,,,,,,,274
7/31/18,Bronx,9,Individuals,,,101,,561,,212
7/31/18,Bronx,10,Individuals,,,,,,,575
7/31/18,Bronx,11,Individuals,,,,,,,
7/31/18,Bronx,12,Individuals,,,98,,270,,299
7/31/18,Brooklyn,1,Individuals,,164,682,,,109,
7/31/18,Brooklyn,2,Individuals,,205,386,,,,71
7/31/18,Brooklyn,3,Individuals,,,562,,242,171,647
7/31/18,Brooklyn,4,Individuals,,,364,65,60,175,811
7/31/18,Brooklyn,5,Individuals,,,849,259,2,238,819
7/31/18,Brooklyn,6,Individuals,,,97,286,,,
7/31/18,Brooklyn,7,Individuals,,,188,88,,538,13
7/31/18,Brooklyn,8,Individuals,,48,571,,40,116,518
7/31/18,Brooklyn,9,Individuals,,,362,,24,,428
7/31/18,Brooklyn,10,Individuals,,,,,,,
7/31/18,Brooklyn,11,Individuals,,,,,,,
7/31/18,Brooklyn,12,Individuals,,,,,,,164
7/31/18,Brooklyn,13,Individuals,,,,,,77,
7/31/18,Brooklyn,14,Individuals,,,,,,,98
7/31/18,Brooklyn,15,Individuals,,40,,,,,211
7/31/18,Brooklyn,16,Individuals,,,664,118,21,352,2486
7/31/18,Brooklyn,17,Individuals,,,,137,11,,796
7/31/18,Brooklyn,18,Individuals,,361,,,,,865
7/31/18,Manhattan,1,Individuals,,,,,,132,
7/31/18,Manhattan,2,Individuals,,,,,,,
7/31/18,Manhattan,3,Individuals,,,882,244,36,231,383
7/31/18,Manhattan,4,Individuals,,304,267,,,596,
7/31/18,Manhattan,5,Individuals,,260,,,,1796,324
7/31/18,Manhattan,6,Individuals,,,989,,,,
7/31/18,Manhattan,7,Individuals,,186,309,,,110,606
