date,cases,cumulative_cases,hospitalizations,cumulative_hospitalizations,deaths,deaths_prob,cumulative_deaths,avg_Adults_in_Shelter,avg_Children_in_Shelter
2/29/20,1,1,0,0,0,0,0,37790,20690
3/1/20,0,1,0,0,0,0,0,37799,20652
3/2/20,0,1,0,0,0,0,0,37786,20631
3/3/20,1,2,1,1,0,0,1,37804,20638
3/4/20,5,7,2,3,0,0,3,37744,20597
3/5/20,3,10,8,11,0,0,11,37681,20542
3/6/20,8,18,5,16,0,0,16,37606,20480
3/7/20,7,25,6,22,0,0,22,37606,20499
3/8/20,21,46,15,37,0,0,37,37680,20478
3/9/20,57,103,30,67,0,0,67,37688,20453
3/10/20,69,172,48,115,0,0,115,37667,20453
3/11/20,155,327,73,188,1,0,188,37653,20465
3/12/20,355,682,79,267,0,0,267,37684,20488
3/13/20,619,1301,144,411,0,0,411,37532,20458
3/14/20,642,1943,155,566,2,1,566,37452,20467
3/15/20,1035,2978,196,762,5,0,762,37529,20492
3/16/20,2121,5099,330,1092,8,1,1092,37480,20401
3/17/20,2452,7551,359,1451,8,3,1451,37503,20421
3/18/20,2971,10522,491,1942,20,4,1942,37492,20372
3/19/20,3707,14229,570,2512,24,3,2512,37455,20358
3/20/20,4007,18236,702,3214,47,3,3214,37303,20352
3/21/20,2637,20873,736,3950,44,6,3950,37353,20351
3/22/20,2579,23452,763,4713,50,3,4713,37478,20358
3/23/20,3570,27022,1111,5824,82,13,5824,37520,20383
3/24/20,4501,31523,1244,7068,95,12,7068,37567,20406
3/25/20,4874,36397,1396,8464,123,19,8464,37603,20372
3/26/20,5047,41444,1543,10007,189,41,10007,37604,20371
3/27/20,5116,46560,1502,11509,218,40,11509,37562,20357
3/28/20,3479,50039,1439,12948,274,51,12948,37667,20347
3/29/20,3563,53602,1473,14421,291,63,14421,37680,20362
3/30/20,6130,59732,1835,16256,325,85,16256,37708,20347
3/31/20,5459,65191,1804,18060,385,84,18060,37757,20341
4/1/20,5449,70640,1757,19817,448,101,19817,37728,20330
4/2/20,5748,76388,1732,21549,498,166,21549,37674,20265
4/3/20,5670,82058,1688,23237,498,167,23237,37709,20273
